Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2026-03-06,31111.28,31111.28,30460.39,30658.34,3225309
2026-03-09,30138.4,30384.66,29995.45,30384.66,5443518
2026-03-10,30649.13,30900.75,30589.76,30686.76,4070966
2026-03-11,30802.05,30806.66,30567.63,30604.91,3430285
2026-03-12,30660.81,30685.51,30177.26,30349.83,3973260
2026-03-13,30257.71,30331.54,30021.68,30235.7,3346764
2026-03-16,30289.12,30304.56,30035.7,30233.82,4362680
2026-03-17,30273.54,30499.4,30180.16,30485.61,6876014
2026-03-18,30593.28,30695.03,30315.52,30315.52,4643251
2026-03-19,30260.21,30260.21,29767.97,29835.38,7829924
2026-03-20,29986.41,30043.04,29641.24,29641.24,6925018
2026-03-23,29195.36,29339.65,28552.32,29248.18,7913812
2026-03-24,29328.1,29370.85,29028.9,29140.98,2634053
2026-03-25,29397.25,29552.15,29369.48,29515.4,4175371
2026-03-26,29586.75,29586.75,29318.47,29371.5,3348482
2026-03-27,29384.29,29412.93,28885.07,29055.93,4039114
2026-03-30,29050.55,29055,28737.77,29017.61,4491629
2026-03-31,29119.57,29688.87,29068.53,29614.66,2970690
2026-04-01,29830.1,30017.03,29748.59,29908.97,3899045
2026-04-02,29818.12,29881.32,29694.88,29881.32,2814596
2026-04-07,29972.99,29990.69,29670.13,29749.2,4566248
2026-04-08,30201.09,30256.51,30089.62,30193.93,6028642
2026-04-09,30274.36,30300.36,30062.63,30152.13,2834913
2026-04-10,30246.37,30369.6,30221.27,30228.51,4800504
2026-04-13,30323.67,30393.35,30175.91,30393.35,3066865
2026-04-14,30451.92,30612.86,30377.76,30612.86,4348563
2026-04-15,30690.43,30832.5,30646.66,30832.47,4806569
2026-04-16,30915.71,30919.87,30652.33,30759.44,3131422
2026-04-17,30863.28,31184.95,30793.68,31184.95,5950676
2026-04-20,31187.62,31205.74,31018.23,31202.83,4100251
2026-04-21,31254.28,31323.94,31172.98,31295.94,3442501
2026-04-22,31331.59,31366.27,31152.12,31292.14,3193919
2026-04-23,31321.17,31335.33,31065,31222.28,4568921
2026-04-24,31248.63,31269.03,31010.59,31083.68,2794583
2026-04-27,31130.75,31182.23,31009.59,31070.16,2962247
2026-04-28,31052.2,31183.17,30810.72,30863.43,2956342
2026-04-29,30870.09,30925.63,30778.51,30875.73,2711479
2026-04-30,30792.05,30851.26,30622.9,30700.96,2207459
2026-05-04,30770.16,30882.51,30557.24,30704.55,3754392
2026-05-05,30761.35,30769,30561.07,30718.89,2888737
2026-05-06,30869.19,31269.09,30869.19,31200.46,3164070
2026-05-07,31316.13,31321.8,31021.47,31021.47,3530503
2026-05-08,31134.07,31134.07,30859.14,30908,2212789
2026-05-11,31094.82,31155.91,30970.81,31025.13,2360782
2026-05-12,31064.62,31076.18,30673.78,30722.35,2215734
2026-05-13,30769.9,30833.8,30613.14,30833.8,2652877
2026-05-14,30848.4,30962.45,30786.16,30898.43,3264244
2026-05-15,30860.34,30860.34,30663.77,30806.97,3577732
2026-05-18,30843.19,30850.85,30682.27,30801.75,4852357
2026-05-19,30854.22,31028.8,30783.21,30813.18,5516146
2026-05-20,30932.82,31093.85,30869.47,31093.85,2949876
2026-05-21,31179.61,31257.25,31014.46,31245.82,3298074
2026-05-22,31325.16,31636.6,31193.63,31636.6,3026634
2026-05-25,31739.22,32077.34,31731.81,31895.62,4656813
2026-05-26,31948.83,32065.66,31831.38,31908.66,3718629
2026-05-27,31971.76,31971.76,31526.31,31551.54,3920409
2026-05-28,31513,31746.03,31426.18,31746.03,3582283.675925
2026-05-29,31939.85,32328.85,31838.92,32168.91,5132694
2026-06-01,32415.21,32448.86,32202.76,32380.61,6761860
2026-06-02,32380.95,32635.25,32220.99,32283.9,6654040
