Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2026-03-06,3349.06,3349.06,3244.45,3262.33,35225960
2026-03-09,3212.39,3265.24,3182.92,3256.8,31466995
2026-03-10,3324.61,3348.02,3310.49,3327.28,24304250
2026-03-11,3324.09,3330.6,3288.52,3312.71,27372506
2026-03-12,3327.68,3329.98,3252.34,3291.27,32406811
2026-03-13,3263.95,3310.71,3249.92,3274.54,28176970
2026-03-16,3281.31,3305.54,3259.04,3292.46,20979461
2026-03-17,3290.39,3373.93,3287.89,3359.96,34518048
2026-03-18,3379.99,3408.97,3338.2,3338.2,29911477
2026-03-19,3315.79,3315.79,3266.46,3276.57,36177727
2026-03-20,3297.49,3309.63,3230.89,3248.12,71769333
2026-03-23,3200.99,3293.34,3134.6,3268.15,36155589
2026-03-24,3273.93,3273.93,3222.74,3241.42,29272459
2026-03-25,3284.57,3320.43,3278,3312.41,25718587
2026-03-26,3302.86,3309.63,3283.13,3306.6,27592252
2026-03-27,3306.41,3306.41,3234.51,3268.55,46852266
2026-03-30,3263.53,3312.74,3242.1,3283.06,38593179
2026-03-31,3301.47,3349.83,3298.02,3340.77,37052212
2026-04-01,3406.68,3415.47,3389.9,3402.92,31462744
2026-04-02,3361.26,3433.65,3354.48,3433.65,29078416
2026-04-07,3432.17,3491.68,3406.97,3416.8,30590594
2026-04-08,3499.87,3559.04,3479.14,3533.95,48795820
2026-04-09,3528.54,3554.16,3514.01,3552.48,37697107
2026-04-10,3562.53,3596.84,3539.96,3596.84,35362224
2026-04-13,3590.57,3596.03,3565.98,3596.03,40116769
2026-04-14,3621.53,3654.27,3603.14,3636.72,36467020
2026-04-15,3631.53,3670.08,3624.78,3665.94,38428715
2026-04-16,3672.41,3674.29,3626.91,3649.5,35850136
2026-04-17,3635.1,3704.61,3625.43,3700.6,37417623
2026-04-20,3664.77,3677.76,3651.63,3666.86,25258821
2026-04-21,3667.59,3676.44,3640,3640,22641146
2026-04-22,3638.09,3638.74,3606.52,3615.77,26602908
2026-04-23,3607.54,3607.54,3555.22,3578.84,29894016
2026-04-24,3573.12,3579.8,3537.24,3556.91,21978831
2026-04-27,3566.6,3566.6,3520.44,3528.9,26503509
2026-04-28,3530.76,3566.57,3497.84,3502.06,24923551
2026-04-29,3524,3563,3493.5,3503.71,37070573
2026-04-30,3519.59,3526.73,3466.2,3487.99,31464000
2026-05-04,3523.9,3535.82,3462.64,3491.84,25265866
2026-05-05,3491.02,3529.57,3482.66,3529.57,24628817
2026-05-06,3560.7,3638.51,3558.4,3629.57,34047137
2026-05-07,3638.82,3640.35,3575.85,3592.99,30490624
2026-05-08,3606.98,3606.98,3522.26,3535.94,28464730
2026-05-11,3540.37,3602.4,3519.83,3586.34,24382901
2026-05-12,3569.01,3569.01,3513.26,3518.79,29499097
2026-05-13,3553.67,3596.05,3538.4,3592.36,27223472
2026-05-14,3612.64,3663.09,3576.4,3631.56,30621449
2026-05-15,3593.6,3606.66,3541.57,3545.38,35633468
2026-05-18,3534.61,3620.07,3524.03,3610.09,24007060
2026-05-19,3605.38,3621.33,3549.8,3552.49,25537092
2026-05-20,3563.25,3622.06,3540.23,3610.7,26244906
2026-05-21,3600.45,3612.61,3568.51,3590,24699024
2026-05-22,3615.99,3657.58,3609.4,3641.19,26469576
2026-05-25,3680.13,3724.23,3680.13,3719.68,25255640
2026-05-26,3718.87,3729.15,3682.07,3682.07,21057844
2026-05-27,3706.21,3724.6,3671.65,3671.65,27425524
2026-05-28,3664.64,3689.17,3660.76,3670.49,27417512.256657
2026-05-29,3692.98,3708.55,3685.05,3686.96,48503573
2026-06-01,3694.96,3694.96,3631.04,3631.04,21206800.894835
2026-06-02,3667.37,3715.27,3643.36,3668.51,33302186
2026-06-03,3661.14,3687.7,3656.78,3679.54,20680351
